division,year,disaster_number,incident_number,incident_name,start_date,fiscal_year,incident_state,disaster_type,disaster_level,total_destroyed_major,total_units_affected,verified_deaths,verified_hospitalized_ill_injured,total_client_shelters_opened,total_overnight_shelter_stays,x_new_shelter_registrations,total_volunters
SWARM,2014,685-14,108461,Everman TX 1/14 MFF,1/2/14,2014,TX,FIR,2,0,0,0,4,1,42,21,42
Northeast,2014,693-14,108530,N Attleboro MA 1/14 MFF,1/3/14,2014,MA,FIR,2,0,0,0,0,0,0,0,11
Crossroads,2014,700-14,108549,WV 1/14 HAZ,1/9/14,2014,WV,HAZ,3,0,0,0,0,0,0,0,66
Pacific,2014,701-14,108579,Anchorage AK 1/14 MFF,1/13/14,2014,AK,FIR,2,0,0,0,0,1,22,22,14
Pacific,2014,302-14,108896,Redwood City CA 1/14 MFF,1/17/14,2014,CA,FIR,2,0,0,0,0,0,0,0,25
Northeast,2014,706-14,108655,Union City NJ 1/14 MFF,1/24/14,2014,NJ,FIR,2,0,0,0,0,1,49,35,42
Northeast,2014,719-14,108691,Super Bowl XLVIII 1/14 NJ,1/29/14,2014,NJ,OTH,2,0,0,0,0,0,0,0,23
Pacific,2014,739-14,108695,Geraghty AK1/14 MFF,1/29/14,2014,AK,FIR,2,23,23,2,4,1,5,5,0
Crossroads,2014,817-14,108722,Westover WV MFF,1/31/14,2014,WV,FIR,2,0,0,0,6,0,0,0,6
SE and Caribbean,2014,833-14,108728,Atlanta GA 2/14 MFF,2/2/14,2014,GA,FIR,2,0,0,0,0,0,0,0,17
Mid Atlantic,2014,840-14,108744,PA 2014 Ice Storm,2/5/14,2014,PA,OTH,3,0,0,0,0,10,617,701,161
SE and Caribbean,2014,292-14,108788,GA 2/14 Winter Storm,2/10/14,2014,GA,BLI,3,0,0,0,0,0,0,0,0
Mid Atlantic,2014,300-14,108802,E. NC 2/14 Winter Storm,2/10/14,2014,NC,BLI,2,0,0,0,0,10,85,69,75
Mid Atlantic,2014,298-14,108789,SC 2-14 Winter Storm,2/11/14,2014,SC,BLI,3,0,0,5,1,26,872,485,134
SWARM,2014,305-14,108949,2014 WY Spring Flood,3/7/14,2014,WY,FLD,2,1,50,0,0,2,87,87,13
Northeast,2014,308-14,108974,Harlem NY 3/14 Explosion,3/12/14,2014,NY,BDC,3,16,16,8,66,1,115,121,215
SWARM,2014,310-14,108987,Austin TX 3/14 TRA,3/13/14,2014,TX,TRA,2,0,0,0,48,0,0,0,21
Northeast,2014,318-14,109033,Mariner's Cove Fire,3/21/14,2014,NJ,FIR,2,0,0,4,8,0,0,0,5
Pacific,2014,320-14,109035,Oso WA 3-14 FLD,3/22/14,2014,WA,FLD,4,0,0,42,34,3,142,32,459
SWARM,2014,327-14,109039,Irving TX 3-14 MFF,3/22/14,2014,TX,FIR,2,0,0,0,0,0,0,0,9
Mid Atlantic,2014,323-14,109067,Mifflin County PA MFF,3/27/14,2014,PA,FIR,2,0,0,0,0,0,0,0,8
Pacific,2014,938-14,108766,EXERCISEAlaskaShield 3/14,3/27/14,2014,AK,EXE,7,0,0,0,0,50,9883,49243,2250
SWARM,2014,329-14,109088,North TX 4-14 Tornados,4/3/14,2014,TX,FLT,2,40,269,0,1,1,0,0,68
SWARM,2014,331-14,109090,South Arkansas 4/14 TOR,4/4/14,2014,AR,TOR,2,56,74,2,0,0,0,0,29
SE and Caribbean,2014,333-14,109098,Central AL 4/14 FLT,4/7/14,2014,AL,FLT,2,0,0,0,0,3,62,100,27
SE and Caribbean,2014,334-14,109099,MS 4/14 TOR,4/7/14,2014,MS,TOR,2,40,216,2,3,1,0,37,73
Pacific,2014,336-14,109135,CA Bus Crash 4/14,4/10/14,2014,CA,TRA,4,0,0,8,73,1,8,0,111
SE and Caribbean,2014,936-14,109133,2014 National Mass Care Ex,4/11/14,2014,FL,HUR,2,0,0,0,0,0,0,0,0
Pacific,2014,337-14,109146,Spokane WA 04/14 MFF,4/12/14,2014,WA,FIR,2,0,0,0,0,1,99,45,31
Crossroads,2014,340-14,109180,Toledo OH 04/14 MFF,4/12/14,2014,OH,FIR,2,24,24,0,1,0,0,0,6
SE and Caribbean,2014,338-14,109149,Norcross GA 4/14 Apt. Fire,4/14/14,2014,GA,FIR,2,0,0,0,0,0,0,0,18
Pacific,2014,881-14,109208,Klose-IN Gas Explosion,4/14/14,2014,WA,EXP,2,0,0,0,0,0,0,0,0
SWARM,2014,011-14,109216,Jonesboro AR 4/14 MFF,4/22/14,2014,AR,FIR,2,7,50,1,0,2,30,2,37
Crossroads,2014,012-14,109217,WEST MI 4/14 FLOODS,4/22/14,2014,MI,FLD,2,7,60,0,0,1,3,3,60
Mid Atlantic,2014,018-14,109231,Eastern NC 4/14 Tornado,4/25/14,2014,NC,TOR,3,152,324,2,8,3,16,26,139
SWARM,2014,019-14,109235,04/14 AR FLT,4/27/14,2014,AR,FLT,4,809,1137,16,163,7,173,154,522
SE and Caribbean,2014,020-14,109238,TN 4-14 Storms,4/27/14,2014,TN,TOR,3,76,287,2,0,1,0,9,97
North Central,2014,021-14,109241,Baxter Springs KS 4/14 TOR,4/27/14,2014,KS,TOR,3,0,0,0,14,1,22,18,71
SWARM,2014,022-14,109242,OTTAWA OK 4-14 TOR,4/27/14,2014,OK,TOR,2,0,0,1,0,1,0,0,30
North Central,2014,027-14,109249,MO 04/14 FLT,4/27/14,2014,MO,FLT,2,87,123,0,0,1,5,7,18
SE and Caribbean,2014,023-14,109244,AL 4/14 FLT,4/28/14,2014,AL,TOR,4,0,0,2,14,11,441,1364,303
SE and Caribbean,2014,024-14,109247,MS 04/14 Tornadoes,4/28/14,2014,MS,TOR,4,949,2276,14,119,6,678,462,358
SE and Caribbean,2014,025-14,109245,Georgia 4/14 FLT,4/28/14,2014,GA,OST,2,0,0,0,0,0,0,0,14
SE and Caribbean,2014,028-14,109250,North FL 4/14 FLT,4/29/14,2014,FL,FLT,4,0,0,1,1,9,899,132,200
Northeast,2014,030-14,109264,New York City NY 4/14 FLD,5/1/14,2014,NY,FLD,2,0,0,0,0,0,0,0,54
SWARM,2014,031-14,109270,OK 5/14 FOR,5/1/14,2014,OK,FOR,2,0,0,1,0,1,23,23,77
Mid Atlantic,2014,038-14,109305,PG Co MD 5/14 Landslide,5/5/14,2014,MD,FLD,2,0,24,0,0,0,0,0,63
Northeast,2014,040-14,109308,Salem MA 5/14 MFF,5/6/14,2014,MA,FIR,2,0,0,0,0,0,0,0,13
Northeast,2014,039-14,109307,Haverhill MA 5/14 MFF,5/7/14,2014,MA,FIR,2,0,0,0,0,0,0,0,17
Northeast,2014,032-14,109279,911 Museum Opening 5/14 NY,5/8/14,2014,NY,OTH,2,0,0,0,0,0,0,0,109
SWARM,2014,033-14,109285,South Texas 5/14 SS-Oth,5/9/14,2014,TX,OTH,3,0,0,0,0,0,0,0,0
North Central,2014,034-14,109287,Ray County MO 5/14 TOR,5/10/14,2014,MO,TOR,2,0,0,0,0,1,0,0,32
SWARM,2014,036-14,109289,NO TX 5/14 FOR,5/11/14,2014,TX,FOR,3,233,237,0,0,3,108,105,122
North Central,2014,037-14,109291,NE / SW IA 5/14 Storms,5/11/14,2014,NE,TOR,2,0,0,0,0,1,13,13,50
Pacific,2014,041-14,109316,San Diego Co CA 5/14 FOR,5/13/14,2014,CA,FOR,3,87,119,1,0,4,533,483,256
Crossroads,2014,042-14,109325,NE Ohio 5/14 FLD,5/13/14,2014,OH,FLD,2,0,0,0,0,2,21,26,69
Pacific,2014,044-14,109330,San Bruno CA 5/14 MFF,5/13/14,2014,CA,FIR,2,0,0,0,0,0,0,0,10
Northeast,2014,046-14,109334,Western NY 5/14 FLD,5/16/14,2014,NY,FLT,2,0,0,0,0,2,34,38,0
Pacific,2014,050-14,109379,Anchorage AK 5/14 MFF,5/19/14,2014,AK,FIR,2,6,6,0,0,0,0,0,0
SWARM,2014,047-14,109357,Coconino Co AZ 5/14 FOR,5/20/14,2014,AZ,FOR,2,0,0,0,16,1,56,24,36
Mid Atlantic,2014,048-14,109356,Elk County PA 5/14 FLD,5/21/14,2014,PA,FLT,2,0,0,0,0,1,9,12,32
Pacific,2014,049-14,109371,Kenai AK 5/14 FOR,5/21/14,2014,AK,FOR,2,0,150,0,0,2,11,9,17
Crossroads,2014,055-14,109406,McDowell Co WV 6/14 FLD,6/5/14,2014,WV,FLD,2,2,56,0,0,0,0,0,45
SWARM,2014,056-14,109409,NE AR 6/14 TOR,6/5/14,2014,AR,TOR,2,0,0,2,0,3,0,0,26
Northeast,2014,057-14,109421,Dennisport MA 6/14 MFF,6/6/14,2014,MA,FIR,2,0,0,0,11,0,0,0,15
SWARM,2014,373-14,109462,Lubbock TX 6/14 OST,6/7/14,2014,TX,OST,2,0,0,0,0,0,0,0,5
Pacific,2014,058-14,109426,Troutdale OR 6/14 CDB,6/10/14,2014,OR,CDB,2,0,0,2,1,0,0,0,51
SWARM,2014,059-14,109429,RFL 6-14 AZ,6/11/14,2014,AZ,OTH,3,0,0,0,0,0,0,0,0
Pacific,2014,060-14,109432,Federal Way 6-14 MFF WA,6/13/14,2014,WA,FIR,2,0,0,0,1,2,90,16,93
Pacific,2014,349-14,109439,Shirley CA 6/14 FOR,6/13/14,2014,CA,FOR,2,0,0,0,0,1,40,35,12
North Central,2014,390-14,109454,Northern MN 6/14 Floods,6/13/14,2014,MN,FLT,2,0,0,0,0,0,0,0,54
North Central,2014,355-14,109442,"Pilger, NE 6/14 Tornado",6/16/14,2014,NE,TOR,3,117,274,2,20,3,198,55,105
North Central,2014,363-14,109444,NW Iowa Flooding,6/16/14,2014,IA,FLD,2,4,193,0,0,6,243,114,80
Northeast,2014,369-14,109449,Holyoke MA 6/14 MFF,6/16/14,2014,MA,FIR,2,0,0,0,0,1,71,36,44
North Central,2014,370-14,109458,ND/SD 6/14 TOR/FLD,6/16/14,2014,SD,TOR,2,0,0,0,3,2,875,227,34
North Central,2014,368-14,109445,Southwest WI 6/14 TOR,6/17/14,2014,WI,FLT,2,25,160,0,0,1,6,6,51
Mid Atlantic,2014,387-14,109465,New Bern NC 6/14 MFF,6/18/14,2014,NC,FIR,2,0,0,0,0,1,94,22,12
SWARM,2014,375-14,109470,Maverick Cnty TX 6/14 FLD,6/21/14,2014,TX,FLT,2,0,0,0,0,0,0,0,15
SE and Caribbean,2014,395-14,109503,West TN 6-14 Flood,6/29/14,2014,TN,FLD,3,0,0,0,0,2,337,196,94
North Central,2014,403-15,109513,East IA/West IL 6/14 FLD,6/30/14,2015,IL,FLT,2,140,320,0,0,4,17,13,66
Mid Atlantic,2014,402-15,109507,TS ARTHUR 07/14 NC,7/1/14,2015,NC,HUR,2,0,0,0,0,13,263,263,51
Pacific,2014,405-15,109514,Butts 7/14 FOR,7/1/14,2015,CA,FOR,1,0,0,0,0,1,47,0,18
Pacific,2014,408-15,109520,Mt. Vernon WA 7/14 MFF,7/2/14,2015,WA,FIR,2,0,0,0,5,1,397,80,73
Crossroads,2014,411-15,109538,Midwest MI 7/14 TOR,7/7/14,2015,MI,TOR,2,56,251,0,0,1,81,93,73
Northeast,2014,413-15,109557,Lowell MA 7/14 MFF,7/10/14,2015,MA,FIR,2,9,9,7,10,0,0,0,29
Pacific,2014,416-15,109601,Eastern WA 7-14 FOR,7/15/14,2015,WA,FOR,4,422,5428,1,0,18,628,207,344
Pacific,2014,417-15,109607,Oregon 7-14 FOR,7/16/14,2015,OR,FOR,2,0,0,0,0,4,1,1,53
Pacific,2014,428-15,109627,Everett WA 7-14 FIR,7/20/14,2015,WA,FIR,2,0,0,0,1,1,66,29,30
SWARM,2014,421-15,109623,Houston TX 7/14 MFF,7/21/14,2015,TX,FIR,2,0,0,0,0,0,0,0,0
SE and Caribbean,2014,429-15,109648,E TN 07/14 TOR,7/27/14,2015,TN,TOR,2,0,0,0,0,1,0,0,45
Northeast,2014,432-15,109649,Revere MA 07/14 TOR,7/28/14,2015,MA,TOR,2,0,0,0,0,1,0,0,77
SE and Caribbean,2014,435-15,109661,TS Bertha 8/14 PR,8/1/14,2015,PR,HUR,2,0,0,0,0,0,0,0,36
Crossroads,2014,436-15,109666,Toledo OH 8/14 Water Emerg,8/2/14,2015,OH,HAZ,2,0,0,0,0,0,0,0,343
Pacific,2014,437-15,109671,TS Iselle 8/14 HI,8/5/14,2015,HI,HUR,4,96,247,1,7,32,2508,2210,285
Pacific,2014,439-15,109675,CA 8/14 Wildfires/Mudslide,8/5/14,2015,CA,FOR,2,0,0,0,0,2,11,4,144
Northeast,2014,440-15,109681,Lynn MA 8/14 MFF,8/5/14,2015,MA,FIR,2,0,0,0,0,1,0,24,24
Pacific,2014,443-15,109685,Rowena OR 8/14 Wildfire,8/5/14,2015,OR,FOR,2,0,0,0,0,1,19,27,30
Northeast,2014,445-15,109705,Amherst MA 8/14 MFF,8/9/14,2015,MA,FIR,2,0,0,0,0,0,0,0,22
North Central,2014,446-15,109715,8/14 MO Civil Disturbance,8/10/14,2015,MO,CDB,2,0,0,0,0,0,0,0,17
Crossroads,2014,444-15,109706,Southeastern MI 8/14 FLD,8/12/14,2015,MI,FLD,3,235,1415,0,0,1,29,9,118
Northeast,2014,448-15,109714,Long Island Floods 8/14 NY,8/13/14,2015,NY,FLT,2,0,0,1,0,0,0,0,50
Northeast,2014,451-15,109729,GNY 8/14 NY MFF,8/18/14,2015,NY,FIR,2,0,0,1,3,0,0,0,41
Crossroads,2014,452-15,109733,IN 08 /14 Storm/Flood,8/21/14,2015,IN,FLT,2,15,101,0,1,1,10,0,53
SWARM,2014,456-15,109769,Houston TX 8/2014 MFF,8/21/14,2015,TX,FIR,2,0,0,0,0,0,0,0,0
Pacific,2014,454-15,109735,South Napa CA 8/14 EQK,8/24/14,2015,CA,EQK,4,128,231,0,6,2,436,124,246
Mid Atlantic,2014,939-15,109756,DC DIsaster Dispatch,8/28/14,2015,DC,EXE,3,0,0,0,0,0,0,0,0
Northeast,2014,467-15,109791,Allston MA 9/14 MFF,9/3/14,2015,MA,FIR,2,0,0,0,0,0,0,0,25
SWARM,2014,483-15,109794,Arizona 9/14 FLT,9/8/14,2015,AZ,FLT,2,0,0,2,1,4,90,1,82
SWARM,2014,489-15,109824,Moapa Valley NV 9/14 Flood,9/8/14,2015,NV,FLT,2,5,54,0,0,0,15,10,0
SE and Caribbean,2014,486-15,109804,West TN 9/14 FLD,9/11/14,2015,TN,FLD,2,0,0,0,0,2,42,32,113
Mid Atlantic,2014,494-15,109862,NEPA9/14 Civil Disturbance,9/13/14,2015,PA,CDB,3,0,0,0,0,1,0,0,134
Pacific,2014,487-15,109820,"Boles, CA 9/14 FOR",9/15/14,2015,CA,FOR,4,0,0,0,6,6,379,252,169
SWARM,2014,492-15,109842,Cimarron NM 9/24 FLD,9/21/14,2015,NM,FLD,2,0,19,0,0,0,0,0,12
SWARM,2014,491-15,109835,West TX 9/14 Floods,9/22/14,2015,TX,FLD,2,22,284,1,0,1,0,0,27
Crossroads,2014,493-15,109846,Columbus OH 9/14 MFF,9/22/14,2015,OH,FIR,2,0,0,0,11,1,99,22,88
SWARM,2014,496-15,109866,"Carbon Co,UT 09/14 Flood",9/27/14,2015,UT,FLD,2,39,43,0,9,1,43,59,50
Mid Atlantic,2014,513-15,109950,National Ebola Operation,10/1/14,2015,DC,EPD,3,0,0,0,2,0,0,0,10
SWARM,2014,497-15,109869,NTX Storm 10/14 OST,10/2/14,2015,TX,OST,2,26,81,0,0,2,1,0,51
SWARM,2014,503-15,109894,NTX 10-14 Ebola Response,10/2/14,2015,TX,EPD,2,0,0,0,0,0,0,0,20
Pacific,2014,937-15,109873,TS VongFong 10/14 GU/CNMI,10/3/14,2015,GU,HUR,3,0,0,0,0,1,65,0,7
Northeast,2014,502-15,109879,East Boston MA 10/14 MFF,10/4/14,2015,MA,FIR,2,0,0,0,0,0,0,0,13
Mid Atlantic,2014,931-15,109880,SAF OCONUS Responses,10/6/14,2015,DC,OTH,2,0,0,0,0,0,0,0,0
Northeast,2014,506-15,109897,Roxbury MA 10/14 MFF,10/10/14,2015,MA,FIR,2,0,0,1,0,0,0,0,16
SE and Caribbean,2014,505-15,109898,HUR Gonzalo 10/14 PR,10/13/14,2015,PR,HUR,2,0,0,0,0,2,0,0,42
SE and Caribbean,2014,507-15,109905,"Monroe,LA Tor",10/14/14,2015,LA,TOR,3,81,311,0,0,2,25,0,101
Pacific,2014,508-15,109907,TS Ana 10/14 HI,10/15/14,2015,HI,HUR,3,0,0,0,0,13,106,107,152
SWARM,2014,509-15,109938,Mesa AZ 10/14 MFF,10/20/14,2015,AZ,FIR,2,0,0,0,0,1,122,26,28
Pacific,2014,511-15,109939,MPHS MarysvilleWA 10/14CDB,10/24/14,2015,WA,CDB,2,0,0,5,10,0,0,0,42
Pacific,2014,514-15,109963,Puna Lava Flow 10/14 HI,10/26/14,2015,HI,VOL,2,0,0,0,0,1,2,1,23
Northeast,2014,515-15,110019,Orange NJ 11/14 MFF,11/7/14,2015,NJ,FIR,2,0,0,0,0,1,145,74,93
Northeast,2014,516-15,110033,Hartford CT 11/14 MFF,11/14/14,2015,CT,FIR,2,0,0,0,1,0,0,0,24
Northeast,2014,521-15,110070,Hyannis MA 11/14 MFF,11/15/14,2015,MA,FIR,2,0,0,0,0,0,0,0,19
Northeast,2014,520-15,110050,Buffalo NY 11/14 Snowstorm,11/18/14,2015,NY,BLI,3,53,132,13,2,11,603,435,150
Crossroads,2014,522-15,110078,Mansfield OH 11/14 MFF,11/24/14,2015,OH,FIR,2,25,50,0,3,1,1,12,33
SWARM,2014,527-15,110191,Dallas TX 12/14 MFF,12/10/14,2015,TX,FIR,2,0,0,2,6,0,0,0,28
Pacific,2014,523-15,110168,CA 12/14 Winter Storms,12/11/14,2015,CA,FLD,3,0,0,0,2,5,315,204,236
North Central,2014,525-15,110176,Quincy IL 12/14 MFF,12/12/14,2015,IL,FIR,2,50,50,0,1,1,130,25,42
Northeast,2014,528-15,110259,Manchester NH 12/14 MFF,12/21/14,2015,NH,FIR,2,0,0,0,0,0,0,0,0
SE and Caribbean,2014,531-15,110263,Columbia MS 12/14 TOR,12/23/14,2015,MS,TOR,3,101,210,5,29,2,0,6,97
SWARM,2014,532-15,110297,San Antonio TX 12/14 MFF,12/28/14,2015,TX,FIR,3,0,0,6,8,1,0,0,85
SE and Caribbean,2015,536-15,110367,Athens GA 1/15 MFF,1/1/15,2015,GA,FIR,2,4,4,1,0,0,0,0,13
SWARM,2015,543-15,110463,Irving TX 01-15 MFF,1/3/15,2015,TX,FIR,2,0,0,0,0,0,0,0,18
Pacific,2015,541-15,110423,Grays Harbor WA 1/15 FLD,1/5/15,2015,WA,FLD,2,0,0,0,0,2,26,0,57
Northeast,2015,535-15,110359,Lowell MA 1/15 MFF,1/7/15,2015,MA,FIR,2,0,0,0,0,1,17,17,24
SE and Caribbean,2015,538-15,110373,College Park GA 1/15 MFF,1/8/15,2015,GA,FIR,2,16,16,0,0,0,0,0,0
SE and Caribbean,2015,539-15,110378,Clarkston GA 1/15 MFF,1/10/15,2015,GA,FIR,2,13,13,0,0,0,0,0,0
SE and Caribbean,2015,542-15,110456,GA 1/15 Montego Apt Fire,1/16/15,2015,GA,FIR,2,12,12,0,0,0,0,0,0
SE and Caribbean,2015,544-15,110477,Douglasville GA 1/15 MFF,1/24/15,2015,GA,FIR,2,16,16,0,0,0,0,0,14
SWARM,2015,546-15,110476,Tulsa OK 1/15 Hotel MFF,1/24/15,2015,OK,FIR,2,49,56,1,6,1,35,19,52
Northeast,2015,549-15,110485,NY 1/15 Winter Storm Juno,1/25/15,2015,NY,BLI,3,0,0,0,0,2,2,0,139
Northeast,2015,550-15,110492,MA 1/15 Winter Storms,1/26/15,2015,MA,BLI,3,0,0,1,0,16,484,337,115
Northeast,2015,551-15,110490,CT-RI 1/15 Winter Stm Juno,1/26/15,2015,CT,BLI,2,0,0,0,2,5,16,18,87
Northeast,2015,552-15,110496,NH/VT 1/15 Winter Stm Juno,1/26/15,2015,NH,BLI,2,0,0,0,0,0,0,0,0
SE and Caribbean,2015,553-15,110506,Dunwoody GA 1/15 MFF,1/28/15,2015,GA,FIR,2,11,11,0,0,0,0,0,0
Pacific,2015,555-15,110513,San Francisco CA 1/15 MFF,1/28/15,2015,CA,FIR,3,0,0,1,4,1,488,52,236
Pacific,2015,557-15,110522,San Francisco CA 1/15 MFF,1/29/15,2015,CA,FIR,2,0,0,0,2,1,7,15,152
SE and Caribbean,2015,556-15,110521,Kennesaw GA 1/15 MFF,1/30/15,2015,GA,FIR,2,7,7,0,0,0,0,0,52
SE and Caribbean,2015,558-15,110560,Norcross GA 02/15 MFF,2/1/15,2015,GA,FIR,2,7,11,0,0,0,0,0,0
Pacific,2015,559-15,110579,Mono County CA 2/15 FOR,2/6/15,2015,CA,FOR,2,39,149,0,0,3,15,15,23
Pacific,2015,561-15,110596,CA 02/08/15 ALA Fire,2/8/15,2015,CA,FIR,2,0,0,0,0,0,0,0,52
Northeast,2015,560-15,110589,Palmer MA 2/15 MFF,2/9/15,2015,MA,FIR,2,0,0,1,3,0,0,0,14
Northeast,2015,562-15,110625,Portsmouth NH 2/15 BDC/BLI,2/14/15,2015,NH,BDC,2,0,0,0,0,0,0,0,0
SE and Caribbean,2015,565-15,110652,DeKalb County GA 2/15 MFF,2/14/15,2015,GA,FIR,2,0,0,0,0,0,0,0,0
SE and Caribbean,2015,563-15,110627,TN 2/15 Winter Storm,2/15/15,2015,TN,BLI,3,16,16,30,0,31,1572,397,168
Crossroads,2015,568-15,110670,Coldwater MI 2/15 MFF,2/15/15,2015,MI,FIR,2,0,0,0,0,0,9,9,26
Mid Atlantic,2015,574-15,110668,Virginia 2/15 Winter Storm,2/15/15,2015,VA,BLI,2,0,0,0,0,6,0,23,25
SE and Caribbean,2015,564-15,110650,Selma AL 2/15 Other,2/16/15,2015,AL,CDB,2,0,0,0,389,0,0,0,28
SE and Caribbean,2015,566-15,110654,GA 02/15 Winter Storm,2/16/15,2015,GA,BLI,2,0,0,0,0,10,721,0,67
Crossroads,2015,567-15,110663,Smithers WV 2/15 Train Der,2/16/15,2015,WV,TRA,2,0,0,0,0,2,85,85,20
Crossroads,2015,573-15,110718,Wayne MI 2/15 MFF,2/16/15,2015,MI,FIR,2,0,0,0,0,0,0,0,0
SWARM,2015,569-15,110679,Plaza Azul Apartments MFF,2/18/15,2015,TX,FIR,2,0,0,0,0,0,0,0,0
Northeast,2015,570-15,110686,Hempstead NY 2/15 MFF,2/19/15,2015,NY,FIR,2,0,0,0,2,1,52,0,91
North Central,2015,571-15,110693,Mahomet IL 2/15 MFF,2/20/15,2015,IL,FIR,2,0,0,0,1,1,0,0,15
Crossroads,2015,572-15,110712,KY 02/15 Winter Storm,2/21/15,2015,KY,BLI,2,0,0,0,0,0,0,0,0
Crossroads,2015,575-15,110740,Detroit MI 2/15 MFF,2/23/15,2015,MI,FIR,2,0,0,0,0,0,0,0,0
Crossroads,2015,577-15,110792,WV 0315 FLD,3/4/15,2015,WV,FLD,3,0,0,1,0,21,19,66,107
Crossroads,2015,579-15,110799,KY Region Winter Storm,3/4/15,2015,KY,BLI,3,0,0,2,0,7,12,70,83
Mid Atlantic,2015,583-15,110813,Cordelia Ave Row Home Fire,3/5/15,2015,MD,FIR,2,0,0,0,0,0,0,0,7
Northeast,2015,581-15,110802,Schenectady NY 3/15 MFF,3/6/15,2015,NY,FIR,2,0,0,0,7,1,42,38,54
SE and Caribbean,2015,582-15,110815,Lilburn GA 3/15 MFF,3/7/15,2015,GA,FIR,2,0,0,0,0,0,0,0,0
Crossroads,2015,588-15,110836,Detroit MI 3-15 MFF,3/9/15,2015,MI,FIR,2,0,0,0,0,0,0,0,1
Northeast,2015,584-15,110833,Warwick RI 3/15 MFF,3/11/15,2015,RI,FIR,2,0,0,0,0,1,0,0,43
Northeast,2015,586-15,110834,Yonkers NY 3/15 Mudslide,3/11/15,2015,NY,FLD,2,0,0,0,6,0,0,0,0
SWARM,2015,591-15,110878,Dallas TX 03-15 MFF,3/14/15,2015,TX,FIR,2,0,0,0,0,0,0,0,10
Pacific,2015,590-15,110876,TS Bavi 3/15/2015 MP,3/15/15,2015,MP,HUR,3,0,0,0,0,13,508,0,25
Northeast,2015,593-15,110879,"Lowell, MA 3/15 MFF",3/17/15,2015,MA,FIR,2,0,0,0,0,1,0,27,10
Mid Atlantic,2015,594-15,110874,"Philadelphia, PA 3/15 MFF",3/17/15,2015,PA,FIR,2,0,0,0,6,1,60,71,55
Pacific,2015,597-15,110912,Oakland CA 3/21 MFF,3/21/15,2015,CA,FIR,2,0,0,2,0,0,0,0,36
North Central,2015,596-15,110906,Des Moines IA 3/15 MFF,3/23/15,2015,IA,FIR,2,0,0,0,0,0,0,0,7
SWARM,2015,600-15,110918,Oklahoma 3/15 TOR,3/25/15,2015,OK,TOR,3,0,0,0,0,3,140,27,204
Mid Atlantic,2015,601-15,110924,Baltimore MD 03/15 MFF,3/25/15,2015,MD,FIR,2,0,0,0,0,0,0,0,10
Northeast,2015,605-15,110926,Manhattan NY 3/15 BDC,3/26/15,2015,NY,FIR,3,0,0,0,29,0,0,0,188
SE and Caribbean,2000,265-00,8632,N MISSISSIPPI 1/00 TORS,1/1/00,2000,MS,TOR,2,51,62,0,0,0,0,0,18
SWARM,2000,271-00,8633,"WACO, TX 1/00 MFF",1/2/00,2000,TX,FIR,2,14,16,0,0,0,0,0,4
Crossroads,2000,264-00,8636,W KENTUCKY 1/00 TORNADOES,1/3/00,2000,KY,TOR,4,821,2937,1,102,2,0,307,1272
SWARM,2000,266-00,8637,"SAN ANTONIO, TX 1/00 MFF",1/4/00,2000,TX,FIR,2,24,24,0,4,0,0,0,23
SE and Caribbean,2000,268-00,8638,"JONESTOWN, MS 1/00 MFF",1/4/00,2000,MS,FIR,1,8,8,0,1,0,0,0,2
SWARM,2000,269-00,8639,"WILMER, TX 1/00 MFF",1/8/00,2000,TX,FIR,3,40,40,0,8,1,0,0,24
SWARM,2000,270-00,8640,"PASADENA, TX 1/00 MFF",1/9/00,2000,TX,FIR,2,25,27,0,0,1,0,0,37
Pacific,2000,272-00,8641,"SAN FRANCISCO, CA 1/00 MFF",1/10/00,2000,CA,FIR,1,40,48,0,0,0,0,0,13
Northeast,2000,273-00,8643,"FALL RIVER, MA 1/00 MFF",1/13/00,2000,MA,FIR,2,12,12,0,3,0,0,0,5
Northeast,2000,348-00,8644,"BROCKTON, MA 1/00 MFF",1/14/00,2000,MA,FIR,2,6,6,0,0,0,0,0,0
Northeast,2000,338-00,8645,"ELMIRA, NY 1/00 MFF",1/21/00,2000,NY,FIR,2,9,9,0,0,0,0,0,0
SE and Caribbean,2000,274-00,8646,N GEORGIA 1/00 ICE STORM,1/22/00,2000,GA,BLI,3,58,70,3,1,12,0,368,44
Northeast,2000,275-00,8647,"BAYONNE, NJ 1/00 MFF",1/23/00,2000,NJ,FIR,2,8,10,0,0,0,0,0,2
SE and Caribbean,2000,278-00,8649,ALABAMA 1/00 WINTER STORM,1/23/00,2000,AL,BLI,1,0,0,0,0,0,0,0,37
Northeast,2000,287-00,8648,"NEWARK, NJ 1/00 MFF",1/23/00,2000,NJ,FIR,2,15,15,0,0,1,0,30,14
Mid Atlantic,2000,276-00,8651,SC 1/00 WINTER STORM,1/24/00,2000,SC,BLI,1,0,3,0,0,23,0,256,144
Mid Atlantic,2000,279-00,8652,NC 1/00 WINTER STORM,1/25/00,2000,NC,BLI,2,0,7,0,0,15,0,529,229
SE and Caribbean,2000,299-00,8653,"NE MIAMI, FL 1/00 MFF",1/25/00,2000,FL,FIR,1,6,6,0,0,0,0,0,4
SE and Caribbean,2000,277-00,8654,MS 1/00 WINTER STORM,1/26/00,2000,MS,BLI,1,0,0,0,0,0,0,0,0
